id,product_desc,product_rate,product_price
82,"Smart TV OLED 65"" 4K UHD LG OLED65C2PSA - IA LG ThinQ, Alexa",4.7,10009.0
83,"Smart TV Crystal 75"" 4K UHD Samsung CU8000 - Alexa built in, Samsung Gaming Hub, Painel Dynamic Crystal Color",4.2,5509.0
84,"Tela 24 Pol, HD Com Função DNR Entradas HDMI + USB + AV Multilaser – TL037",4.4,813.85
85,"Smart TV OLED 42"" 4K UHD LG OLED42C2PSA - IA LG ThinQ, Alexa",4.8,5612.38
86,"Smart TV LED 32"" HD Aiwa 32-BL-01 - Wifi, USB, HDMI",4.3,
87,"HQ Smart TV LED 32"" HD com Conversor Digital Externo 3 HDMI 2 USB WI-FI Android 11 Design Slim HQSTV32NY",4.5,899.0
88,"PHILIPS Smart TV 32"" HD Android 32PHG6917/78, Google Assistant, Comando de Voz, HDR, 3 HDMI, Wifi 5G, Bluetooth 5.0, Dolby Atmos",4.6,1279.0
89,"Smart TV LED 32"" HD AOC ROKU TV FHD 32S5195/78G, Wi-Fi, 3 HDMI, 1 USB, Wifi, Conversor Digital",4.5,
90,"Smart TV OLED 65"" 4K UHD Samsung 65S90C - Alexa built in, Processador com IA, Painel de Pontos Quanticos",5.0,
91,"Smart TV LED 24' Monitor LG 24TL520S, Wi-Fi, WebOS 3.5, DTV Machine Ready",4.8,1099.0
92,"Smart TV Neo QLED 55"" 4K UHD Samsung QN85C - Alexa built in, Mini Led, Processador com IA",5.0,
93,"LG 50UQ801COSB.BWZ - Smart TV LED 50"" 4K UHD IA LG ThinQ, Alexa built-in",4.7,2799.0
94,"HQ TV LED 32"" HD Conversor Digital Externo 3 HDMI 1 USB Design Slim",4.3,829.0
95,"Smart TV LED 75"" 4K UHD TCL 75P735 - Google TV, Wifi, HDMI",4.5,4569.92
96,"Smart TV Neo QLED 65"" 8K Samsung QN800C - Alexa built in, Mini Led, Processador com IA",5.0,11699.0
97,"Smart TV LED 50"" 4K UHD LG 50UQ7950 - Alexa, ThinQAI, Google, Wifi, Bluetooth",4.7,2699.9
98,"Smart TV QLED 75"" 4K UHD TCL C835 - Google TV, Wifi, Bluetooth",4.5,8499.0
99,"Konka Smart TV LED 43"" Full HD, Design sem bordas, comando por voz, Google Assistant e Android TV com Bluetooth KDG43",4.3,1399.0
100,PHILCO TV 32” PTV32T10EDP Recepção Digital HD Led,4.5,
101,"Smart TV Neo QLED 65"" 4K UHD Samsung 65QN85B - Alexa built-in",4.4,
102,Smart TV QLED 43' 4K UHD Samsung QN43LS03B - The Frame,4.7,2999.0
103,"SAMSUNG SMART TV CRYSTAL UHD 4K BU8000 85"", SLIM, TELA SEM LIMITES, VISUAL LIVRE DE CABOS, ALEXA COMPATIVEL, CONTROLE ÚNICO",5.0,8488.0
104,"Fast Smart TV LED 55"", Ultra HD 4K, PTV55G20AGS, Philco, Android TV, Midiacast, Dolby Atmos, Função Futebol",4.4,2899.0
105,"Samsung UN50AU7700GXZD - Smart TV LED 50"", 4K UHD, Wifi, HDMI",4.7,3225.42
106,"TV LED 32"" LG 32LT330HBSB Não Smart, 2 HDMI, 1 USB, Pro Conversor Digital",4.5,1079.0
107,"Konka Smart TV LED 32"" Design sem bordas, comando por voz, Google Assistant e Android TV com Bluetooth KDG32",4.6,1029.0
108,"2022 Smart TV LG 43"" 4K UHD 43UQ7500 WiFi Bluetooth HDR ThinQAI compatível com Smart Magic Google Alexa",4.6,2008.51
109,"Samsung Smart TV 75"" Neo QLED 8K QN800B 2022, Mini Led, Painel 120hz, Processador com IA, Som em Movimento",4.4,24999.9
110,"Smart TV LED 55' 4K UHD Samsung UN55AU7700 - Wifi, HDMI",4.7,
111,"Smart TV Philco 50"" PTV50G70SBLSG Ultra HD 4K Tela Infinita Quadcore e App Store",4.3,
112,"Smart TV QLED 55"" 4K UHD Samsung QN55LS03B - The Frame, Wifi, USB",4.8,4377.41
113,"Philips Smart TV 55"" 4K 120 Hz THE ONE Android, Ambilight, P5, DTS Play-Fi, Freesync, Dolby Vision Atmos, Google Assistant/Alexa - 55PUG8807/78",4.5,4099.0
114,"Smart TV QLED 55"" 4K UHD TCL 55C825 - Google TV, Wifi, HDMI",4.8,5499.0
115,LG TV SMART HD 32 32LM627BPSB,4.8,1740.37
116,"Smart TV LED 65"" 4K UHD Samsung UN65AU7700 - Alexa built-in",4.7,
117,Smart TV 43” Britânia Led BTV43E3AAGSSGBLF Android TV Dolby Audio Bivolt,5.0,1499.9
118,"PHILIPS Android TV 65"" 4K 65PUG7406/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",4.5,3732.18
119,"Smart TV LED 60"" 4K UHD Samsung UN60AU7700 - Wifi, HDMI, USB",4.6,3208.46
120,"Smart TV LED 50"" 4K UHD Philco PTV50G70R2CSGBL - Roku TV",4.5,1999.9
121,"Tv 65P Qled 8K, Smart, Wifit, Comando Voz - Qn65Q800Tagxzd, Samsung Audio e Video",5.0,
122,"Smart TV 75"" 4K Ambilight 75PUG7906/78, Android, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",4.7,6173.73
123,Smart TV Philco 40” PTV40G65RCH Roku TV Dolby Audio Led,4.4,
124,"Smart TV LED 75' 4K UHD LG 75UQ8050PSB - IA LG ThinQ, Alexa",4.9,6399.9
125,"Smart TV QLED 75"" 4K UHD Samsung Q70C - Alexa built in, Modo Game, Som em Movimento",5.0,10027.49
126,"2022 Smart TV LG 55"" 4K NanoCell 55NANO75 3x HDMI 2.0 Nvidia GEFORCE NOW ThinQAI Smart Magic Google Alexa",4.5,4099.38
127,"Smart Tv Philco Roku 42"" Led Full Hd - Ptv42g52rcf",4.6,1814.58
128,"2021 Smart TV LG 43"" Full HD 43LM6370 WiFi Bluetooth HDR ThinQAI compatível com Inteligência Artificial",4.8,2199.9
129,"Smart TV LED 55"" 4K UHD LG 55UQ7950 - Alexa, ThinQAI, Google, Wifi, Bluetooth",4.7,2699.0
130,"Smart TV QLED 65"" 4K UHD Samsung QN65LS03B - The Frame, Wifi",5.0,8194.59
131,"Smart TV LED 32' HD Semp 32R5500 - Wifi, HDMI, USB",4.6,1049.0
132,"GOOGLE TV LED 55” TCL P725 4K UHD, Grande",4.5,2699.0
133,"Smart TV LED 65"" 4K UHD LG 65UP751C0SF - IA LG ThinQ, Alexa",4.5,
134,Ptv39g71ag11ch Tv Led Philco 39 Preto,4.3,1899.0
135,"2022 Smart TV LG 55"" 4K OLED55C2 Evo 120Hz Mais Brilho G-Sync FreeSync 4x HDMI 2.1 ThinQAI Google Alexa",5.0,
136,"TV Portatil Digital 9"" Conversor Integrado Monitor com Controle Remoto USB LED PVR SD e Bateria Recarregavel Bivolt",4.2,549.99
137,"HQ Smart TV 60"" UHD 4K, HDR, Tela sem bordas, Android 11, Sistema Ultrasound, Design Slim, Processador Quad Core, Espelhamento de tela, HQSTV60NK",4.0,
138,Tela 32 Polegadas HD Com Função Smart E Wifi Integrado Entradas HDMI + USB + RJ45 + AV Multi - TL020,4.4,1099.0
139,Tv 14 Digital Portátil Led 12v USB Onibus Carro Van Caminhao Camping Casa Portaria KP-TV14,5.0,
140,"Tela 32 Pol, HD Com função DNR, Smart E Wifi Integrado Entradas HDMI/USB/RJ45/AV Multilaser – TL026",4.3,1499.0
141,Tela Toshiba 50 Pol. 50C350KB 4K Smart VIDAA HDR Entradas HDMI + USB + RJ45 + AV + P2 - TB004,4.0,2599.0
142,"TV PHILCO 24"" TV PTV24G50DCH LED HD",4.6,
143,32' Smart TV Panasonic LED JS500,4.6,
144,VELOZES E FURIOSOS 9 BD,4.7,99.9
145,"Smart TV QLED 32"" FULL HD Samsung QN32LS03B - The Frame, Wifi, USB",4.5,
146,"Smart TV, PTV32G52S, 32"" Polegadas, Tela LED, Wi-Fi integrado, Entradas HDMI e USB, Conversor digital integrado, Philco",4.7,
147,"Smart TV Neo QLED 43"" 4K UHD Samsung QN43QN90B - Bluetooth, USB",4.6,
148,"Smart TV Full HD D-LED 43”, PTV43E10N5SF - Wi-Fi 2 HDMI 2 USB, Philco",4.4,1799.0
149,CABO EXTENSOR HDMI 2.0 4K ULTRA HD 3D CONEXAO ETHERNET 3 METROS – H20F-3,4.5,37.62
150,"Smart TV LED 43"" 4K UHD TCL 43P615 - Android TV, Wifi, HDMI",4.5,1899.0
151,"Smart TV LED 32"" HD LG 32LM621CBSB.A - IA LG ThinQ, Wifi",4.8,2101.45
152,TV Monitor Portátil 15.4 Polegadas,5.0,624.11
153,BUMBLEBEE BD,4.7,48.0
154,PHILCO SMART TV 32 LED HD PTV32D10N5SKH,4.5,1599.5
155,"TV portátil de 5 polegadas, mini tv digital recarregável 1080 p smart tv, suporte usb, cartão tf, tv portátil para carro, viagens, cozinha, camping",5.0,
156,"Smart TV LED 75"" 4K UHD TCL 75P725 - Google TV, Wifi, HDMI",5.0,5499.0
157,Smart TV Philco PTV32G70SBL LED- HD- WIFI integrado,4.5,2228.9
158,"LG TVSmart 4K Uhd 55 UP7550PSF, 55""",4.8,4349.28
159,"Smart TV LED AOC 39S5195 39"" HD Roku TV Wi-fi HDMI USB Preta",5.0,1599.0
160,LG SMARTV 50 4K UHD BLUETOOH WI WIFI IA THINQ AI GOOGLE ASSIS ALEXA,4.8,2399.0
161,"Smart TV LED TCL 32RS530 32"" HD Roku TV Wi-fi HDMI USB Preta",4.9,1500.0
162,"Smart TV LED 70"" 4K UHD Samsung UN70AU7700",4.8,4999.0
163,Tela Toshiba 43 Pol. 43v35kb Dled Fhd Smart Vidaa – TB008,4.3,2079.0
164,"TV de 7/10 Polegadas, TV LED Widescreen Pequena Com Sintonizador Digital ATSC, Sintonizador de TV Portátil 1080 P ATSC TV Digital para Carro Com Rádio FM, Suporte de TV e Controle Remoto para Viagens (ATSC de 7 polegadas)",5.0,
165,"2022 Smart TV LG 50"" 4K NanoCell 50NANO75 3x HDMI Nvidia GEFORCE NOW ThinQAI Smart Magic Google Alexa",4.5,
166,Tela Toshiba 32 Pol. 32v35kb Dled Hd Smart Vidaa – TB007,4.4,
167,"Smart Tv 50"" Uhd 4k Philco PTV50G10AG11SK Android Tv - Bivolt",4.3,2499.0
168,"PHILIPS Smart TV 43PFG6825/78-43"" Full HD sem bordas, HDR Plus, 3 HDMI, 2 USB, Wifi Miracast, Conversor digital, Netflix, Youtube, Globoplay e Prime Video",4.3,2461.4
169,Smart TV QLED 55' 4K UHD Samsung QN55Q70A - Alexa built-in,4.7,
170,"Tv portátil de 12 polegadas com antena, tv pequena com tv digital atsc para viagens de carro de acampamento, televisão digital 1080 p para interior ao ar livre",5.0,542.12
171,"Smart TV Neo QLED 65"" 4K UHD Samsung 65QN90B - Wifi, HDMI",4.8,
172,"Smart TV LED 43"" FULL HD Philco PTV43D10AG11SKF - Android TV, Dolby Audio",4.7,
173,"Smart TV QLED 65"" 4K UHD Samsung QN65Q80A",5.0,13999.9
174,"2022 Smart TV LG 65"" 4K NanoCell 65NANO75 3x HDMI 2.0 Nvidia GEFORCE NOW ThinQAI Smart Magic Google Alexa",5.0,5659.98
175,"Smart TV QLED 55"" 4K UHD TCL 55C725 - Google TV, Wifi, HDMI",4.7,2999.0
176,"Smart TV OLED 65"" 4K UHD LG OLED65C1 - IA LG ThinQ, Alexa built-in",4.8,13999.9
177,"TCL QLED TV 65” C825 4K UHD Google TV DOLBY VISION SOUNDBAR ONKYO INTEGRADO ATMOS, Grande",4.6,9000.0
178,"Tela 43 Pol, Full HD Com Função Smart E Wifi Integrado Entradas HDMI + USB + RJ45 + AV- TL024",4.0,1699.0
179,Smart Tela DLED 32 HD Multi Android 11 3HDMI 2USB Wi-fi - TL042,5.0,1260.0
180,Smart Tv Multilaser 4K LCD 50pol. Bilvolt Wifi Tl032,4.6,1899.9
181,"Samsung Smart TV 60"" Crystal UHD 4K 60AU8000, Painel Dynamic Crystal Color, Design slim, Tela sem limites, Visual Livre de Cabos, Alexa built in, Controle Único",4.7,5999.9
182,"Smart TV LED 50"" 4K UHD Semp 50SK8300 - Android TV, Wifi",4.6,2999.0
183,Tela 24 Polegadas HD Sem Conversor Digital Multilaser - TL021,4.1,949.0
184,"Smart TV LED 65” TCL P715 4K Android UHD HDR com Wi-Fi, Borda Ultrafina e Google Assistant",4.5,7176.9
185,"Smart Tv Philco 39"" Led Hd Ptv39g60s",4.4,2247.06
186,"Smart TV PHILCO 50"" 4K UHD D-LED PTV50N10N5E - Wi-Fi - 4 HDMI - 2 USB",4.2,2499.0
187,"Smart TV LED 40"" Panasonic TC-40FS500B Full HD 2 USB, 2 HDMI Preta",4.4,
188,"2021 Smart TV LG 55"" 4K NanoCell 55NANO85 120Hz FreeSync 2 HDMI 2.1 Inteligência Artificial ThinQAI Google Alexa",4.6,5999.9
189,"Televisão digital portátil de 5 polegadas, tv led freeview de tela hd atsc para caravana de carro camping cozinha ao ar livre, tv digital de bolso com bateria recarregável de 1500 mah, suporte usb, ca",5.0,525.96
190,"UGREEN Bluetooth 5.0 Adaptador Receptor auxiliar do carro Bluetooth V5.0 Som estéreo A2DP Receptor de áudio com entrada de 3,5 mm com microfone Chamada viva-voz para auxiliar do carro, alto-falante, telefones celulares, tablet com auxiliar de 3,5 mm",4.5,108.8
191,"Smart TV LED 65"" Samsung LH65BETHVGGXZD Ultra HD 4K 2HDMI 1USB Wifi",4.6,
192,"TV Digital Portátil de 5 Polegadas, Tela HD Portátil Portátil de Bolso de 5 Polegadas, Interface Múltipla ISDB T TV LED Portátil Recarregável de Alta Sensibilidade",5.0,329.76
193,"Tv portátil de 5"", tv led portátil digital atsc tft hd, tv led portátil recarregável com usb, dc, controle remoto, para acampamento de viagens de crianças de carro",4.8,328.88
194,"Substituição de Montagem Completa da Tela LCD para Galaxy A51, Ch Digitador de Tela Com Moldura",5.0,
195,Xtreme XLB71033BLK Barra de luz multicolorida,4.0,
196,"Raz Importações férias água Lanternas 10"" TV de Água de Santa Expresso Musical Lighted Enviado dos EUA",4.7,1269.11
197,"Monoprice Suporte de parede articulado para TV de movimento total para TVs de 19 a 55 polegadas, peso máximo de 45 kg, faixa de extensão de 3 a 46 cm, padrões VESA até 400 x 400 - Série SlimSelect",5.0,
198,"Smart TV 65"" Vizio PQ65-F1 4K HDR",4.4,
199,"Modular, Crimpagem, Ferramenta de Corte, Mini",4.2,130.99
200,"Zero Technologies, LLC Ready Pour Blue Pitcher 10 xícaras",4.3,
201,Apple TV Portable Genius  Edição Inglêspor Guy Hart-Davis,4.3,
202,"Smart TV LED 55"" 4K UHD Samsung UN55BU8000 - Alexa built-in",4.5,
203,"Smart TV Samsung UHD 4K 58CU7700 2023, Processador Crystal 4K, Gaming Hub Tela sem Limites 58"" 58""",5.0,
204,Dreamscreens Transforma sua TV em uma galeria de arte (Ultimate TV Art Pack),4.0,1612.75
205,Tela Multilaser 32 Pol Hd Entradas Hdmi Usb Vga e Conversor Digital Tl001,4.2,
206,Tela 39 Pol. HD Sem Conversor Digital Entradas Hdmi + Usb + Av Multilaser - TL033,5.0,
207,The Kidsongs Television Show: We Love Dogs,4.0,
208,Full Service: moje przygody w Hollywood i szalony seks z gwiazdami  Edição Polonêspor Scotty Bowers,5.0,
